names;years;ALPS;ALSA;AMNE;AMPE;AMRU;CACO;CACY;CUIN;CYCA;CYSI;ESLU;ESMA;ETNI;ETNO;ETOL;FUDI;LASI;LEGI;LEMA;LUCO;MIDO;MISA;MOAM;MOAN;MOMA;NOAT;NOBI;NOCR;NOHD;NOHU;NORU;NOST;OSMO;PECA;PEFL;PEOM;PONI;SAVI;SECO
Lac Saint-Pierre;1995;0.083333333;0;1.25;0;0.25;0.472222222;0.027777778;0;0.083333333;0;0;0;0;0;2.611111111;8.694444444;0.083333333;4.305555556;0;0;0;0;0;0;0.055555556;4.611111111;9.166666667;9;0.055555556;0.472222222;0;0;0;0.166666667;9;0.833333333;0;0.027777778;0
Lac Saint-Pierre;2002;0.083333333;0.041666667;20.36111111;0.097222222;0.916666667;0.041666667;0;0;0.041666667;0.625;0.611111111;0;0.430555556;0;15;96.66666667;6.569444444;29.41666667;0;0;0.069444444;0.069444444;0.013888889;0;0.458333333;4.388888889;34.88888889;44.63888889;0.625;0.847222222;0;0.444444444;0;1.125;8.652777778;1.430555556;0.208333333;0.069444444;0.013888889
Lac Saint-Pierre;2007;0.589041096;0.01369863;2.260273973;0.01369863;0.520547945;0.438356164;0;0;0.068493151;0.246575342;0.178082192;0.01369863;0.04109589;0;5.98630137;41.52054795;5.219178082;30.60273973;0;0;0.04109589;0.095890411;0;0.205479452;0.547945205;11.4109589;47.83561644;54.7260274;2.767123288;4.95890411;0.054794521;0;0.068493151;1;13.19178082;0.808219178;0.068493151;0.01369863;0.01369863
Lac Saint-Pierre;2013;2.597222222;0.069444444;0.402777778;0.180555556;0.263888889;0.083333333;0.013888889;0;0;1.458333333;0.277777778;0;0.208333333;0;2.888888889;3.402777778;38.68055556;24.26388889;0;0;0.097222222;0.152777778;0;0.041666667;0.097222222;29.125;11.06944444;54.84722222;0;0.833333333;0.027777778;0.444444444;0.069444444;0.263888889;6.930555556;2.694444444;0.041666667;0.083333333;0.013888889
Lac Saint-Pierre;2016;2.206896552;0.051724138;1.689655172;0.137931034;1.293103448;0.948275862;0.017241379;0;0.086206897;2.465517241;0.189655172;0;0;0;4.448275862;15.15517241;21.18965517;51.74137931;0;0;0.086206897;0.137931034;0.017241379;0.206896552;1.206896552;13.55172414;23.0862069;55.0862069;7.810344828;1.172413793;0;0.775862069;0.034482759;0.172413793;11.46551724;15.46551724;0.137931034;0.224137931;0.017241379
Lac Saint-François;1996;0.046511628;0;0;0;2.093023256;0.162790698;0;0;0;0;0;0.023255814;0.279069767;0;7.837209302;2.604651163;2.046511628;2.720930233;0;0;0.046511628;0.255813953;0;0.023255814;0.11627907;0;0;2.372093023;0;0.581395349;0;0;0;1.23255814;5.651162791;0;0.255813953;0;0
Lac Saint-Louis;1997;0.826086957;0;0.043478261;0;7.739130435;0.217391304;0;0.326086957;0.02173913;2.217391304;0.217391304;0;0.239130435;0;6.239130435;5.934782609;2.260869565;19.73913043;0;0.043478261;0.347826087;0.304347826;0.02173913;0.152173913;0.065217391;1.217391304;0.02173913;37.36956522;0;12.47826087;0;19.19565217;0;7.456521739;13.23913043;0;2.195652174;0.02173913;0
Montréal-Sorel;2001;1.363636364;0.058823529;0.256684492;0.005347594;4.304812834;1.802139037;0.245989305;0.064171123;0.144385027;2.304812834;0.042780749;0.080213904;0.07486631;1.572192513;8.598930481;15.34759358;0.240641711;7.299465241;0;0.07486631;0.411764706;0.112299465;0.010695187;0.379679144;2.818181818;2.855614973;0.545454545;4.561497326;0.005347594;8.385026738;0;0.288770053;0.117647059;5.475935829;7.005347594;4.417112299;0.058823529;0.272727273;0.016042781
Lac Saint-François;2004;0.136363636;0;0.121212121;0;3.318181818;0.196969697;0;0;0;0.015151515;0.015151515;0.015151515;0.090909091;0;16.22727273;21.78787879;17.28787879;4.560606061;0;0;0.196969697;1.409090909;0.090909091;0.015151515;0.045454545;0;0;3.287878788;1.803030303;2.060606061;0;4.454545455;0;1.090909091;10.12121212;0;0.287878788;0.03030303;0
Lac Saint-Louis;2005;0.33;0.05;0.54;0;8.56;0.46;0;0.49;0.05;0.17;0.25;0.02;0;0;13.95;19.96;3.18;27.31;0;0;0.11;2.25;0.01;0.03;0.09;0.53;0;6.85;0.73;1.85;0;2.96;0;3.13;7.79;0.41;1.22;0.15;0
Lac Saint-François;2009;0.584615385;0;0.138461538;0;2.384615385;0.261538462;0;0.046153846;0;0.138461538;0.030769231;0.015384615;0;0;0.076923077;3.646153846;91.64615385;8.015384615;0;0;0.153846154;1.676923077;0.015384615;0.076923077;0.030769231;0.046153846;0.461538462;4.615384615;4.446153846;1.692307692;0;13.73846154;0.015384615;0.569230769;6.861538462;0.015384615;0.076923077;0.015384615;0
Lac Saint-Louis;2011;8.77;0.01;0.46;0;6.24;0.22;0.01;0;0;2.61;0.06;0.02;0;0;1.06;7.21;28.32;23.76;0.25;0;0.38;1.57;0.12;0.01;0.06;5.01;1.3;5.26;2.43;4.81;0.83;0.5;0.13;4.55;13.14;0;0.19;0.05;0.13
Lac Saint-François;2014;2.838709677;0;0.064516129;0;6.032258065;0.177419355;0;0;0;0.064516129;0.016129032;0;0;0;0;3.048387097;25.90322581;4.548387097;1.629032258;0.016129032;0.14516129;3.112903226;0.016129032;0.032258065;0;0.258064516;0.016129032;7.274193548;3.241935484;1.322580645;0.016129032;6.887096774;0;0.258064516;4.193548387;0;0.419354839;0;0.35483871
Montréal-Sorel;2015;2.789473684;0.026315789;0.254385965;0.01754386;8.649122807;1.421052632;0;0;0.035087719;1.385964912;0.096491228;0.01754386;0;0.043859649;1.543859649;1.035087719;0.929824561;4.49122807;0.201754386;0.01754386;0.271929825;0.850877193;0.035087719;0.236842105;2.228070175;10.36842105;0.640350877;1.48245614;0.00877193;12.65789474;0.01754386;0.877192982;0.00877193;1.780701754;3.807017544;9.236842105;1.157894737;0.657894737;1.754385965
Bécancour-Batiscan;1996;0.5;0;0;0;0.115384615;0.461538462;0;0.307692308;0.076923077;0;0.076923077;0;0.307692308;0;10.88461538;7.307692308;0.038461538;1.115384615;0;0;0.115384615;0;0.038461538;0;1.538461538;1.076923077;0;0.769230769;0;0.307692308;0;0;2.346153846;2.615384615;7.653846154;0.192307692;0.038461538;0;0.153846154
Bécancour-Batiscan;2001;0.033898305;0.762711864;0.118644068;0;0.338983051;2.610169492;0.118644068;0;0.406779661;0.033898305;0.033898305;0.06779661;0;0;5.728813559;43.61016949;0.016949153;0.06779661;0;0.016949153;0.050847458;0.016949153;0;0;0.016949153;1.728813559;0;1.220338983;0.016949153;2.389830508;0.016949153;0;0.033898305;0.254237288;8.152542373;0.288135593;0;0.084745763;0.016949153
Bécancour-Batiscan;2008;6.526315789;0.263157895;0.052631579;0;0.263157895;0.859649123;0;0;0.01754386;0.614035088;0.122807018;0;0;0.210526316;1.175438596;7.666666667;0.894736842;9.719298246;0;0.210526316;0.456140351;0.175438596;0.070175439;0.105263158;0.122807018;3.228070175;0.438596491;5.929824561;0.01754386;4.578947368;0.01754386;0;0.087719298;0.473684211;14.26315789;5.228070175;0.140350877;0.105263158;0.789473684
Bécancour-Batiscan;2012;1.192982456;1.192982456;0.543859649;0;0.543859649;1.473684211;0.368421053;0;0.140350877;0.157894737;0.035087719;0;0.01754386;0;0.98245614;29.29824561;0.596491228;0.175438596;0;0.01754386;0.122807018;0;0.192982456;0.070175439;3.228070175;8.649122807;0;0.175438596;0;3.666666667;2.947368421;0;0.01754386;1.842105263;34.10526316;0.736842105;0;0.157894737;0.070175439
Bécancour-Batiscan;2017;3.105263158;0.578947368;0.052631579;0.01754386;0.01754386;0.929824561;0;0;0.035087719;0.350877193;0.105263158;0;0;0;0.859649123;9.157894737;4.947368421;17.14035088;0;0.210526316;0.561403509;0.192982456;0.140350877;0.280701754;0.035087719;4.105263158;0.01754386;7.473684211;0;0.631578947;0.438596491;0;0.175438596;0.789473684;7;1.684210526;0.035087719;0.175438596;1.438596491
