sites,ACFU,ALPS,ALSA,AMCA,AMNE,AMRU,CACO,CYCA,ESLU,HITE,ICPU,LEGI,MIDO,MISA,MOAM,MOAN,MOMA,NEME,NOCR,NOHU,PECA,PEFL,PONI,RIEN,SACA,SAVI
2,0.29824561,0.017543860,0.000000000,0.03508772,2.6140351,0.12280702,3.7719298,1.50877193,3.5789474,0.87719298,0.2631579,0.28070175,0.0000000,0.26315789,0.03508772,0.596491228,0.42105263,0.000000000,2.50877193,0.57894737,0.017543860,23.2982456,0.052631579,0.000000000,0.8771930,3.4385965
9,0.87786259,0.763358779,0.442748092,0.01526718,1.2366412,0.70229008,2.6106870,0.13740458,2.6030534,1.12213740,0.4122137,0.42748092,0.4809160,0.09923664,0.03053435,0.587786260,3.03053435,0.000000000,1.80152672,0.65648855,0.091603053,17.3206107,0.000000000,0.015267176,1.3053435,3.9465649
14,0.41125541,0.004329004,0.095238095,0.00000000,2.1645022,0.15151515,1.4285714,0.05627706,0.5974026,1.02164502,0.8571429,0.05627706,0.2943723,0.05627706,0.04329004,0.285714286,1.77922078,0.086580087,1.12987013,0.35497836,0.034632035,5.5584416,0.000000000,0.000000000,0.9264069,1.8051948
22,0.35344828,0.004310345,0.116379310,0.00000000,0.6637931,0.10344828,1.1206897,0.01724138,0.5215517,1.73706897,2.1594828,0.03879310,0.3189655,0.00000000,0.10775862,0.607758621,2.18965517,0.004310345,0.05603448,0.03879310,0.004310345,3.0258621,0.008620690,0.000000000,1.6594828,2.5172414
26,0.70329670,0.000000000,0.263736264,0.00000000,1.7692308,0.08791209,1.3406593,0.39560440,0.4285714,5.57142857,4.5604396,0.08791209,0.8241758,0.08791209,0.27472527,0.879120879,3.80219780,0.000000000,0.50549451,0.05494505,0.021978022,5.8131868,0.000000000,0.000000000,1.0439560,3.9340659
4,0.01315789,0.065789474,0.000000000,0.00000000,0.1447368,5.56578947,1.3815789,0.05263158,3.2368421,0.00000000,0.0000000,1.02631579,0.4605263,0.27631579,0.00000000,0.092105263,0.03947368,0.000000000,1.81578947,0.71052632,0.000000000,21.6842105,0.118421053,0.013157895,0.0000000,0.7631579
6,0.96296296,0.000000000,0.000000000,0.00000000,0.1851852,3.76543210,1.4814815,0.07407407,2.0740741,0.33333333,0.3580247,0.74074074,0.2592593,0.07407407,0.01234568,0.641975309,0.29629630,0.000000000,0.74074074,0.08641975,0.000000000,42.8148148,0.037037037,0.000000000,0.6419753,2.9259259
8,1.02127660,0.000000000,0.000000000,0.00000000,0.1489362,1.55319149,0.7659574,0.14893617,0.6808511,0.05319149,0.4574468,0.03191489,0.5531915,0.00000000,0.01063830,0.085106383,0.65957447,0.000000000,0.13829787,0.06382979,0.000000000,4.8936170,0.000000000,0.010638298,0.7446809,1.3085106
11,0.01492537,0.059701493,0.000000000,0.00000000,0.1044776,3.41791045,0.5074627,0.00000000,0.8955224,0.00000000,0.0000000,0.61194030,0.2014925,0.30597015,0.00000000,0.014925373,0.02238806,0.014925373,0.04477612,0.17164179,0.000000000,19.2388060,0.022388060,0.000000000,0.0000000,0.2537313
12,1.23076923,0.583333333,0.128205128,0.01282051,0.2051282,3.46794872,0.3974359,0.46153846,0.5833333,1.41025641,0.1923077,0.51282051,1.1730769,0.39743590,0.02564103,0.262820513,0.39743590,0.000000000,0.09615385,0.28846154,0.006410256,12.6602564,0.006410256,0.000000000,0.2948718,2.7371795
16,0.03174603,0.150793651,0.000000000,0.00000000,0.1269841,6.40476190,0.6587302,0.00000000,0.1111111,0.00000000,0.0000000,0.23809524,1.3968254,0.19841270,0.00000000,0.007936508,0.10317460,0.103174603,0.07936508,2.50793651,0.000000000,21.8492063,0.015873016,0.007936508,0.0000000,0.5714286
18,2.59210526,0.013157895,0.039473684,0.01315789,0.1447368,2.38157895,0.8289474,0.05263158,1.6315789,1.17105263,0.3552632,0.23684210,2.6052632,0.23684210,0.05263158,0.513157895,1.25000000,0.065789474,0.30263158,1.23684211,0.013157895,57.1578947,0.013157895,0.013157895,1.1578947,7.8157895
23,0.00000000,0.015625000,0.000000000,0.00000000,0.1718750,5.53125000,0.7812500,0.00000000,0.3281250,0.00000000,0.0000000,1.20312500,1.2968750,0.29687500,0.09375000,0.093750000,0.09375000,0.156250000,0.03125000,1.18750000,0.046875000,33.2812500,0.046875000,0.000000000,0.0000000,0.4062500
25,0.33146067,0.005617978,0.005617978,0.00000000,0.1011236,0.32022472,0.1629213,0.01123596,0.2471910,0.01685393,0.2752809,0.00000000,0.5224719,0.02247191,0.00000000,0.067415730,0.43820225,0.000000000,0.04494382,0.01685393,0.000000000,0.6404494,0.000000000,0.000000000,0.2191011,0.449438
